trapped,SOLUTION_ID,MZ84_MZ283,MZ85_MZ283
117.9999999,bd07hg20as03_018,0.016441131444307137,0.008399809902106318
67.99999996,bd07hg20as03_018,0.02902561388287198,0.011828872575148502
20.99999994,bd07hg20as03_018,0.031435333198105674,0.014453721885224206
20.99999995,bd07hg20as03_018,0.03346356021945473,0.015761366210821658
118.9999999,bd07hg20as03_018,0.022316626707102806,0.009137943687320465
21.0000001,bd07hg20as03_018,0.03559890321087161,0.014823892157412071
6.000000009,bd07hg20as03_019,0.01916702211387672,0.03667966606107138
6.999999991,bd07hg20as03_019,0.028061787049312188,0.05053659976312039
201.0,bd07hg20as03_019,0.021419862654171958,0.0141922004113286
5.0000000060000005,bd07hg20as03_019,0.02222542047478638,0.022023501375195365
47.0,bd07hg20as03_019,0.017203562634546365,0.014403311184871304
12.0,bd07hg20as03_019,0.023654539121936876,0.021876741534396775
107.0,bd07hg20as03_019,0.022824227058874196,0.030396077880008865
5.0000000060000005,bd07hg20as03_020,0.040915994149556593,0.02055031117631236
4.000000003,bd07hg20as03_020,0.030894889874066585,0.015190842860874468
253.0,bd07hg20as03_020,0.01881890316364472,0.010150660455920302
4.000000003,bd07hg20as03_021,0.014757258764793574,0.013240062872281627
8.000000005,bd07hg20as03_022,0.03338990243710955,0.01826830344093196
118.0,bd07hg20as03_022,0.012126619707561914,0.007378568226928618
5.0000000060000005,bd07hg20as03_022,0.019044051134260033,0.01205634858091331
250.0,bd07hg20as03_022,0.01356706242773962,0.004993133330311085
5.999999999,bd07hg20as03_022,0.020217160334759482,0.01731101921836679
156.0,bd07hg20as03_022,0.012860467088156578,0.005210276598444933
