date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
180824,4,0.6,570,261,,,1,,8/24/18 10:22,8/24/18 17:00,,398,70,bd10hg20_002,0.3,,15.64285714,63.76470588,9874.147059,hardly any 85,46,61,4.95,53,4.13,39,67,4.93,59,4.2,C:/MassCenter DataORG/DropletMSProject.7pj/180824.7fl\Data004.7rw,180824_004_0.6,bd10hg20,2,,73.31,9883.34,,0.001584224,0.007417533,0.006457743,,,
180828,1,0.7,620,300,,,1,,8/28/18 12:00,8/28/18 16:12,,252,70,bd10hg20_002,0.3,,18.25806452,68.38709677,9601.935484,hardly any 85,41,70,4.98,61,4.09,34,78,4.99,67,4.03,C:/MassCenter DataORG/DropletMSProject.7pj/180828.7fl\Data001.7rw,180828_001_0.7,bd10hg20,2,,81.69,9617,,0.001901498,0.008494333,0.00712222,,,
180829,5,0.8,600,290,,,1,,8/29/18 12:15,8/29/18 15:03,,167.9999999,70,bd10hg20_002,0.3,,15.96774194,84.96774194,10915.45161,,37,70,4.99,61,4.14,34,77,4.99,67,4.16,C:/MassCenter DataORG/DropletMSProject.7pj/180829.7fl\Data005.7rw,180829_005_0.8,bd10hg20,2,,96.57,10924.2,,0.001462857,0.008840007,0.007784171,,,
180829,6,0.65,700,360,,,1,,8/29/18 15:07,8/29/18 18:00,,173,70,bd10hg20_002,0.3,,15.64516129,99.03225806,9962.935484,,31,84,5,74,4.1,23,93,4.99,81,4.07,C:/MassCenter DataORG/DropletMSProject.7pj/180829.7fl\Data006.7rw,180829_006_0.7,bd10hg20,2,,117.5,9974,,0.001570337,0.01178063,0.009940068,,,
180829,7,0.45,610,300,,,1,,8/29/18 18:04,8/29/18 18:30,,25.99999992,70,bd10hg20_002,0.3,,31.5,570.8,21976.3,,38,75,4.99,65,4.09,34,77,4.98,67,4.06,C:/MassCenter DataORG/DropletMSProject.7pj/180829.7fl\Data007.7rw,180829_007_0.5,bd10hg20,2,,615.7,21991.6,,0.001433362,0.027997053,0.025973435,,,
180830,1,0.43,650,350,,,1,,8/29/18 18:34,8/30/18 6:48,,734,70,bd10hg20_002,0.3,,35.88888889,120.7,22502.2,,34,84,4.99,74,4.09,25,93,4.96,82,4.08,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data001.7rw,180830_001_0.4,bd10hg20,2,,123.58,22498,,0.001594906,0.005492933,0.00536392,,,
180830,2,0.45,600,327,,,1,,8/30/18 6:55,8/30/18 8:26,,91.00000008,70,hg20as10_002,0.3,,18.16129032,,8873.580645,,40,76,4.94,68,4.11,40,77,4.97,68,4.09,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data002.7rw,180830_002_0.5,hg20as10,2,,,8890.6,,0.00204667,,,,,
180830,3,0.6,620,290,,,1,,8/30/18 9:51,8/30/18 10:33,,41.9999999,70,bd10hg20_002,0.3,,15.70967742,256.5806452,10329.70968,,37,69,4.77,64,4.28,33,75,4.91,70,4.45,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data003.7rw,180830_003_0.6,bd10hg20,2,,267.6,10344.6,,0.001520825,0.025868569,0.024839096,,,
180830,4,0.45,610,280,,,1,,8/30/18 10:38,8/30/18 10:56,,18,70,bd10hg20_002,0.3,,12.29032258,505.483871,15104.03226,,45,66,4.93,62,4.49,50,66,4.97,61,4.36,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data004.7rw,180830_004_0.5,bd10hg20,2,,493.1,15132.3,,0.000813711,0.032585926,0.033466816,,,
180830,5,0.4,630,265,,,1,,8/30/18 10:59,8/30/18 11:42,,42.99999998,70,bd10hg20_002,0.3,,17.87096774,272.6451613,12856.3871,,48,62,4.98,58,4.54,45,65,4.99,61,4.55,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data005.7rw,180830_005_0.4,bd10hg20,2,,278,12875.6,,0.001390046,0.021591227,0.021206981,,,
180830,7,0.7,600,290,,,1,,8/30/18 13:57,8/30/18 14:29,,31.99999997,70,bd10hg20_002,0.3,,14.5,280.9677419,9881.967742,,40,73,5,63,4.07,39,76,4.99,66,4.08,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data007.7rw,180830_007_0.7,bd10hg20,2,,293.23,9894.4,,0.001467319,0.029635956,0.028432368,,,
180830,8,0.45,690,325,,,1,,8/30/18 14:34,8/30/18 16:19,,105,70,bd10hg20_002,0.3,,21.25806452,145.9677419,8563.096774,,35,78,4.95,66,4,22,86,4.91,78,4.34,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data008.7rw,180830_008_0.5,bd10hg20,2,,166.5,8583.8,,0.002482521,0.019397004,0.017046139,,,
180830,9,0.35,620,275,,,1,,8/30/18 16:31,8/30/18 18:29,,118.0000001,70,bd10hg20_002,0.3,,21.48387097,223.9354839,13718.03226,,48,62,4.89,57,4.35,38,70,4.99,64,4.45,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data009.7rw,180830_009_0.3,bd10hg20,2,,234.8,13726,,0.001566104,0.017106222,0.01632417,,,
180830,10,0.3,640,285,,,1,,8/30/18 18:34,8/30/18 20:22,,108,70,bd10hg20_002,0.3,,26.06451613,143.0645161,8609.774194,,40,65,4.87,60,4.36,34,72,4.98,67,4.53,C:/MassCenter DataORG/DropletMSProject.7pj/180830.7fl\Data010.7rw,180830_010_0.3,bd10hg20,2,,164.4,8631.8,,0.003027317,0.019045854,0.016616524,,,
