MINS_ELAPSED,MZ84_MZ283,MZ85_MZ283,MZ149_MZ283,MZ150_MZ283,MZ168_MZ283
8.85,0.5125139892155866,0.06562213856953912,0.009716146098280599,0.035303693152914845,0.004222199613388951
9.25,0.5483144621718992,0.052431806484817295,0.00977869274318065,0.03158775090066907,0.004953679876479671
9.75,0.5220373988277979,0.04091543399385989,0.007451855986603405,0.03005861010326542,0.0065866592241138715
11.05,0.6778585652757838,0.045060899365535124,0.013661834853887835,0.03450192191914046,0.005835224378270736
16.75,0.4266885955030866,0.040553327625827966,0.008110665525165593,0.03814265759473708,0.0054746992294867755
18.45,0.3187000044358356,0.03189365823365025,0.0074374177522142215,0.03653649953423726,0.008649879493131847
19.25,0.4678308483480706,0.023271301195012764,0.011913130341485072,0.03148470161678198,0.003477746124532909
20.65,0.8020154119739182,0.044978534605090624,0.007652098938405992,0.05803739828636094,0.009933358481076323
37.07,0.5492573435201442,0.04389503155696863,0.009134911972666445,0.051369050443695725,0.006928296872775589
37.57,0.412822635262247,0.023918815776743384,0.008589273620502456,0.048536383475054554,0.006525267944486848
64.93,0.7091138567822506,0.045569283911252825,0.011956954962136309,0.0360701474691112,0.004982064567556795
65.63,0.28737275729411366,0.020086473972696015,0.009430429305825078,0.03227453784087427,0.005753583222687502
67.03,0.4128636426306356,0.028333103543361368,0.01030608024265821,0.051737212188060114,0.005859644285123397
67.53,0.3307196155305426,0.03307196155305426,0.007841153408372329,0.042241052232199316,0.00657645124573163
112.32,0.36768406082485505,0.02795099004485286,0.007384312438464063,0.02893556503664807,0.00421179302045728
3.63,0.43463319886448526,0.1698789780367548,2.9881966233378156e-05,0.029433736739877484,0.008516360376512775
4.53,0.4588509316770186,0.07220496894409938,0.010714285714285714,0.044513457556935816,0.007039337474120083
4.83,0.3640361899974868,0.07903995978889168,0.013696908771048002,0.027393817542096004,0.0
6.43,0.5178846226025597,0.05149570243591187,0.012911458919791315,0.04064857561085463,0.0061929962842022295
7.03,0.708780380994088,0.08789139478870156,0.008977446901686009,0.044186555725859424,0.007050580249616817
7.93,0.5590281967740638,0.05470415510236917,0.007843610474236757,0.041269458187522624,0.006709303728731749
10.63,0.8403076774224759,0.06806637317981713,0.010981568380823375,0.052585748149581536,0.006192250012094239
