MINS_ELAPSED,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX
4.8,0.19661748938978738,0.19099793678580307,0.20219301974693613
5.8,0.19086439699004432,0.18501090241277096,0.19674115369300055
6.8,0.18528491226683236,0.17920519292275286,0.19143758318865034
7.8,0.1798692768442915,0.17358165246338397,0.18627695841696387
8.8,0.17461473343769435,0.16813458016996427,0.18125544946226763
9.8,0.1695158846392095,0.16285843705222983,0.17636930454042177
10.8,0.16455745215007195,0.1577478582156869,0.1716148749881231
11.8,0.15976625693600738,0.1527976555897005,0.16698860869048365
12.8,0.15509263041912147,0.14800279310609746,0.16248705767391738
13.8,0.1505635247613124,0.14335839546746876,0.15810685614636924
14.8,0.14616720311644302,0.13885974133563522,0.15384473259479525
15.8,0.14190553950825513,0.13450225607777633,0.14969750432741108
16.8,0.13777363878164722,0.1302815045110807,0.145662073621403
17.8,0.13374700765479514,0.12619319838804322,0.14173542459507962
18.8,0.12984586513813595,0.12223318839652184,0.1379146223273968
19.8,0.12605336589377392,0.11839745538216061,0.1341968162889913
20.8,0.12237267063598578,0.11468209831812674,0.13057923468850358
21.8,0.11880060478937733,0.11108333671306553,0.127078705008235
22.8,0.11534286925859956,0.10757997525106339,0.1236826878283696
23.8,0.11196226896898764,0.10418254620069534,0.12037743077608308
24.8,0.10869104020818114,0.10089240579683822,0.11716050484338593
25.8,0.10551093767016806,0.09770617213705443,0.11402954149478814
26.8,0.10242817965469657,0.09462056607067852,0.11098223965836754
