MINS_ELAPSED,M_BUTENEDIAL
4.8,0.1965639499009586
5.8,0.1908282668586228
6.8,0.1852599828790775
7.8,0.17985416030735696
8.8,0.17460607459006977
9.8,0.1695111251970982
10.8,0.16456484259967605
11.8,0.1597628910450613
12.8,0.15510106109774657
13.8,0.1505752620255587
14.8,0.14618152431788473
15.8,0.1419159941776782
16.8,0.13777492899287533
17.8,0.13375469304855742
18.8,0.12985176386556624
19.8,0.12606272439539432
20.8,0.12238425672924368
21.8,0.11881313316788285
22.8,0.11534621924457567
23.8,0.11198046687877554
24.8,0.10871291403542734
25.8,0.10554070183953389
26.8,0.1024610529031931
