MINS_ELAPSED,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX
4.0,0.14614466587110872,0.14006320256583193,0.15216523960970227
5.0,0.13937277012625354,0.13309953189803153,0.1455987141192752
6.0,0.13290830663814748,0.12638842509722847,0.13945990618020535
7.0,0.12673903361892072,0.12001570072529673,0.13360726448906196
8.0,0.12086819335768932,0.1139642941177618,0.12800023396668664
9.0,0.11526708000152386,0.10821801411622024,0.1226285069270403
10.0,0.10992028188522446,0.10276147210772725,0.11748221701009062
11.0,0.10483196886680962,0.09758005852602192,0.11255189884876546
12.0,0.09997241991728606,0.09265990174478154,0.10782848893049826
13.0,0.09534251086027865,0.0879878276667357,0.10330330475080761
14.0,0.09092632435785117,0.08355132771586433,0.09896802652400641
15.0,0.08670811765387529,0.07933852385100063,0.09481468480388945
16.0,0.08268755392314399,0.07533813693023758,0.09083564429447005
17.0,0.07884696526175902,0.07153945645344162,0.08702359020330411
18.0,0.07519385700898054,0.06793231208676749,0.08337151468162651
19.0,0.07172428344722181,0.064507046256144,0.07987270395614067
20.0,0.0684002398765035,0.06125448831172062,0.07652072607858865
21.0,0.06522997537102235,0.05816593001995663,0.07330941899071794
22.0,0.062197810150044386,0.05523310223198212,0.07023287922519404
23.0,0.05931564491854918,0.052448152739852615,0.06728545106652765
24.0,0.05656871927683829,0.04980362508962155,0.06446171615375704
25.0,0.05394608340246075,0.047292438823371405,0.06175648351371484
