MINS_ELAPSED,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX
4.0,0.14611028767813572,0.1400011491691121,0.15232517079131844
5.0,0.13935061942086363,0.13318110686837298,0.1458186222861489
6.0,0.13288885634089345,0.1264580052141856,0.13969563718465622
7.0,0.12674332472038088,0.12007428866097206,0.1338297561524251
8.0,0.12088041082572046,0.11398002880567021,0.12821018241153204
9.0,0.11529230386443419,0.10819483250775118,0.12282657319788891
10.0,0.1099341107587386,0.1027032714815257,0.1176690287166976
11.0,0.10485068733287854,0.09749044096389965,0.11272805185598873
12.0,0.09999598044589597,0.0925421950567116,0.10799454891268111
13.0,0.09536210544051621,0.08784510322355751,0.10345980867915751
14.0,0.09094848475469895,0.08338641799459388,0.09911548406238566
15.0,0.08675834672302975,0.07915403877890448,0.09495357966805217
16.0,0.08272758965805971,0.07513647913487498,0.09096643553254505
17.0,0.07889188438330963,0.07132283557684328,0.08714671341965961
18.0,0.07522958149219934,0.06770275814866933,0.08348738319192714
19.0,0.07174172029634521,0.06426642217748782,0.07998170992747068
20.0,0.06841614863754127,0.061004501625083675,0.0766232414784698
21.0,0.06524834155149294,0.05790814382441669,0.07340579663768701
22.0,0.06222372921226256,0.05496894543617584,0.07032345377716545
23.0,0.05933479934255802,0.052178929634669774,0.06737053991132161
24.0,0.05658006830741161,0.049530524281618096,0.0645416202338717
25.0,0.053951981652297046,0.047016541648312586,0.06183148841177307
