MINS_ELAPSED,M_BUTENEDIAL
4.0,0.14611126078856232
5.0,0.1393450646876943
6.0,0.13289219434283017
7.0,0.12673814585647122
8.0,0.12086907736437613
9.0,0.11527179721220095
10.0,0.10993372188230616
11.0,0.10484284528481054
12.0,0.09998772049656848
13.0,0.09535742991528101
14.0,0.09094156157713659
15.0,0.0867301858685883
16.0,0.08271383305017535
17.0,0.07888347190822449
18.0,0.07523048932642519
19.0,0.071746671239455
20.0,0.06842418386876152
21.0,0.06525555622147641
22.0,0.062233663260399044
23.0,0.059351709910365535
24.0,0.056603215763276475
25.0,0.053982000510410584
