MINS_ELAPSED,MZ84_MZ283,MZ85_MZ283
1075.0,0.04017961398955307,0.03353425111076295
1085.0,0.0358695212192823,0.044182984866913265
1004.0,0.021962934848048583,0.01661126089574117
68.0,0.002801137196321667,0.01525080192452992
149.0,0.004551781093607259,0.011641718229604275
133.0,0.004640565279156765,0.010195145089352388
376.0,0.017507376531282016,0.02509145262968484
6.0,0.0011828227596147247,0.036630899814683475
67.0,0.004270189848330987,0.041862949532524694
1185.0,0.028061787049312188,0.05053659976312039
1403.0,0.02222542047478638,0.022023501375195365
901.0,0.03338990243710955,0.01826830344093196
1036.0,0.019044051134260033,0.01205634858091331
1303.0,0.020217160334759482,0.01731101921836679
15.99999999,,0.0021055157401849004
125.0,0.010027046187819527,0.0032770007508664168
