MINS_ELAPSED,pH,pH_MIN,pH_MAX,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,M_NH
10.0,5.648895628647895,5.191969921965222,6.173980892954537,0.7434206669674998,0.7117747104338615,0.7755404251194415,0.04154796602735159,0.038121795471430735,0.04486639791342732,0.04675858313375703,0.04279900159513377,0.050626055593027866,0.7148212410091374
11.0,5.624580468460778,5.173604156782498,6.141081667967745,0.7306265039880955,0.698220058302515,0.7631758732140046,0.04299755227989287,0.038899754060412566,0.047093218283149066,0.0472593017029905,0.04302377102226,0.05133186510866309,0.7020270780297331
12.0,5.6007925901728095,5.15560886167155,6.110013428798563,0.7182138681599058,0.6849492302090902,0.7515137648295787,0.044135849416438715,0.03926950399494596,0.04923275148111623,0.047694815452197815,0.043178355624040834,0.05210584097961978,0.6896144422015434
13.0,5.577515028476392,5.137972939003747,6.079884626057448,0.7060510182806101,0.6719709820700807,0.7407232647964509,0.04506182975546763,0.03932618353072232,0.05120955468385907,0.048090031751634114,0.04318131159030696,0.052803464768860345,0.6774515923222477
14.0,5.554731537821004,5.120685730015497,6.050441794394423,0.6942774644953942,0.6592042837525894,0.730203813648934,0.04573885785963204,0.03928496622909688,0.05290520526061818,0.048437065386912725,0.04317153838774705,0.053523094908940035,0.6656780385370318
15.0,5.532426552687096,5.103736993326512,6.021661770269711,0.6828600656019288,0.6468542532111486,0.7199438588609495,0.046243889063205285,0.03916036576165627,0.05432217232859786,0.04873794966822838,0.04314871754553857,0.054175546411913,0.6542606396435664
16.0,5.510585155290308,5.087116884707644,5.993522421435758,0.6716727386871948,0.6348982362729574,0.7099327988436259,0.046595937460041585,0.03893505671930431,0.05549327073127575,0.04900700476870642,0.04311284485109629,0.054748414491246,0.6430733127288324
17.0,5.489193041648923,5.070815938014292,5.966002590174761,0.6607925963059351,0.6230180795258712,0.7001608592608387,0.04678184861607916,0.03853603726774902,0.05644723105965736,0.049214503790289216,0.04306414927175802,0.05524554240796657,0.6321931703475727
18.0,5.468236489561856,5.054825047207796,5.939082040244429,0.6502076067652695,0.611341866397206,0.6906189712762194,0.046868085361338165,0.03808362616714759,0.05720923929586438,0.0494062641737316,0.043003017825751486,0.055724115205435736,0.621608180806907
19.0,5.447702330660752,5.039135449393058,5.912741407252392,0.6400420172719439,0.5999989045922655,0.6812986970481328,0.04684668407706314,0.03758739199935897,0.05788676498648535,0.049525220946359305,0.04292995771638413,0.056151819205368464,0.6114425913135815
