METRIC,ph0,bd0,pr0,dm0,i0,i1,i2,k6,k7,k8,k9,k10,initial_butenedial,initial_nhx,ai,aii,aiii
avg,5.648895628647895,0.7433913579461308,0.04156292364601755,0.04676768911866892,200.14455119081424,80.2276945891304,3.4306792361953122,25.569623469008516,6442613.993634394,0.2528357821152185,0.47012641944633216,0.17522063250660191,0.7533486939488401,0.7247492679904777,15.540611819052288,64.56436103105035,16145.363507233364
se,0.0,0.015996569732478143,0.0017387830476184142,0.0020208903588482736,0.0,0.0,0.0,3.768673652644559,1934540.8394094077,0.018058048435534265,0.04191973195647275,0.022495267644882345,0.0,0.0,0.0,0.0,0.0
