MINS_ELAPSED,pH,pH_MIN,pH_MAX,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,M_BD_OH,M_BD_OH_MIN,M_BD_OH_MAX,M_NH
13.7,8.456998251068281,8.411646036238944,8.515436362958297,0.4131035301065608,0.3777603675040577,0.4370569456337384,-1.2956434315669765e-13,-2.112611432982937e-08,2.1319648212724075e-08,0.08219393793567181,0.07697797694118716,0.09294796397593988,0.01958787202913149,0.018523299138619085,0.020173987392080858,-0.16827742227439166
13.8,8.45668156579517,8.411527110891061,8.514735922165295,0.4121319180221676,0.3767218019447832,0.4361971302914353,-2.7370647424748676e-13,-1.7272957044534208e-08,2.4852278905261042e-08,0.08207757986865317,0.07684788632477195,0.09283197293817654,0.019693232139545745,0.01862026652332411,0.02028538580697933,-0.16924903435878488
13.9,8.456368300570773,8.411409257143184,8.514044645318638,0.4111753842096726,0.3756875083778098,0.4353402870693033,-3.1327437848343183e-13,-1.7552075666723583e-08,2.0756947632553546e-08,0.08195945334998603,0.07671823466971373,0.09271627103375543,0.019798304721277117,0.018716913121726308,0.020396485097480974,-0.17020556817127988
14.0,8.456058398912521,8.411292460576481,8.513362353747686,0.4102149675783344,0.3746574626913379,0.4344863891861167,-5.353092570052283e-13,-2.1845058315320618e-08,2.4474028201109643e-08,0.0818423323992794,0.07658901975730263,0.09260085718394973,0.019903161072154892,0.018813241100988826,0.020507287158301718,-0.17116598480261805
14.1,8.455751809217489,8.411176707029654,8.51268887339656,0.4092637457305395,0.37363164107574975,0.4336354279515985,-3.123870182330868e-13,-2.09916995321428e-08,2.0246757555351644e-08,0.08172761109805184,0.07646023938375507,0.09248573031106404,0.020007476421936427,0.0189092525935655,0.02061779386411521,-0.172117206650413
14.2,8.455448475848295,8.4110619825932,8.512024034676106,0.408316002360568,0.3726100200236088,0.4327873862545352,-2.292443122042939e-13,-2.2805827200559208e-08,2.0305004391731294e-08,0.0816111743443222,0.07633189135974558,0.09237088934508828,0.02011147831619745,0.01900494969610033,0.02072800700174127,-0.1730649500203845
14.3,8.455148349969894,8.410948273603854,8.511367672321532,0.4073717192525802,0.3715925763296598,0.4319422493525838,-9.351560858425714e-14,-2.390753209016833e-08,2.397456911864606e-08,0.08149516697923112,0.07620397351161376,0.0922563332236977,0.020215125087300945,0.01910033446942748,0.020837928577364263,-0.17400923312837227
14.4,8.454851381461436,8.410835566639152,8.510719625255437,0.4064282958255376,0.37057928631994935,0.4311000027639981,-6.75383901871175e-14,-2.656898897719406e-08,2.324101373005672e-08,0.08138003786321553,0.07607648368092416,0.09214206089225274,0.0203183804069626,0.01919540893857126,0.020947560504125443,-0.1749526565554149
14.5,8.454557519098088,8.41072384851216,8.51007973645603,0.4054813335258355,0.3695701260973698,0.4302606336960689,-7.91620157665778e-14,-2.2985870331561425e-08,1.9835332312924668e-08,0.08126684575992624,0.07594941972012115,0.09202807130379534,0.020421364072050297,0.019290175097523742,0.021056904407803428,-0.17589961885511698
14.6,8.454266714548336,8.410613106266318,8.509447852830283,0.4045550031652885,0.3685650726429818,0.4294241271402625,-8.023769497575868e-14,-2.196868453641488e-08,1.843809903419957e-08,0.08115093438022213,0.0758227794904348,0.0919143634013371,0.020524063973067143,0.0193846349929478,0.021165962037430604,-0.176825949215664
14.7,8.453978920600868,8.410503327170447,8.508823825091827,0.4036228805069546,0.36756410315805865,0.4285904662177187,-6.219381006618421e-14,-1.9695362714602018e-08,2.2442259498771e-08,0.0810368355079497,0.07569656088238623,0.09180093612754632,0.020626425767186738,0.019478790615790786,0.021274735347801773,-0.17775807187399786
14.8,8.453694090971549,8.410394498713854,8.508207507643364,0.4026986039139852,0.3665671950633932,0.4277596338910459,-8.336130838639032e-14,-2.5918520530061057e-08,2.5512495516269195e-08,0.0809205444949853,0.07557076179530726,0.091687788443809,0.020728322325076355,0.019572643901742952,0.02138322617664213,-0.17868234846696726
14.9,8.453412178167884,8.41028660860159,8.507598758463411,0.4017748830837479,0.3655743259992977,0.4269316140657617,-6.800590337672242e-14,-3.049064275449218e-08,2.1076491777163103e-08,0.08080619247189863,0.07544538014343198,0.09157491931754384,0.02083017130318008,0.019666196756447974,0.021491435905630088,-0.17960606929720455
15.0,8.453133142274506,8.410179644749812,8.506997438997194,0.40085655286838,0.3645854738256041,0.4261063971474142,-1.153147675566944e-13,-1.9983190889010324e-08,2.072560081682825e-08,0.08069164045028847,0.07532041385431806,0.09146232772220242,0.020931771480345,0.01975945105550289,0.021599366360825503,-0.18052439951257246
15.1,8.452856933827302,8.41007359528128,8.506403414051524,0.3999408106506492,0.3636006163455345,0.4252839682168828,-3.779104314531735e-14,-2.4404129072458063e-08,2.194316763164352e-08,0.08057702816469033,0.07519586084889178,0.09135001263726902,0.02103310423992097,0.019852408644458145,0.021707019364691608,-0.1814401417303033
15.2,8.452583513868781,8.409968448520955,8.50581655169345,0.39903137150692186,0.3626197309340117,0.4244643143586398,5.674139994867828e-14,-2.8173515139384032e-08,2.7001061504304158e-08,0.08046264149363376,0.07507171909358526,0.09123797304826077,0.021134192783911897,0.019945071338817552,0.02181439647576008,-0.1823495808740306
15.3,8.452312837920742,8.409864192991707,8.505236723152574,0.3981124930346604,0.36164279562607743,0.4236474199527843,1.4690358597430778e-13,-2.4294357803489376e-08,2.088585473037548e-08,0.08035056049878625,0.0749479865575208,0.09112620794301468,0.021235271664568917,0.020037440965882624,0.021921499388576845,-0.18326845934629207
15.4,8.452044865629071,8.409760817410158,8.504663802726862,0.3971970922713493,0.36066978865486016,0.4228332708253417,1.710027834057151e-13,-1.761343154427769e-08,2.502052004264616e-08,0.08023672589896079,0.07482466122422364,0.09101471630189856,0.021335518655938773,0.020129519423112342,0.022028329617132282,-0.18418386010960316
15.5,8.45177955779307,8.409658310682591,8.50409766769178,0.39628872813313387,0.3597006884196985,0.4220218526505202,2.0544950752392728e-13,-2.22397061026836e-08,2.315777938161249e-08,0.0801244082457629,0.07470174109162196,0.09090349711924396,0.02143567197661452,0.020221308507899573,0.02213488888032512,-0.1850922242478186
