SECONDS,MZ150,MZ168,MZ84,MZ85,MZ149
1.144167,64,51,77,401,210
1.1495,73,50,78,371,178
1.154833,61,56,76,380,204
1.160125,55,55,79,395,202
1.165458,69,49,66,387,195
1.170792,72,38,76,343,230
1.176125,61,40,78,365,188
1.181458,64,42,76,404,218
1.186792,75,52,75,381,222
1.192125,53,46,61,386,199
1.197417,73,43,65,396,197
1.20275,61,49,74,376,184
1.208083,65,51,72,375,189
1.213417,77,54,72,394,186
1.21875,70,51,81,412,188
1.224083,68,46,90,356,180
1.229417,72,46,87,380,200
1.23475,59,42,72,388,217
1.240042,55,54,63,342,186
1.245375,65,39,73,382,190
1.250708,61,49,74,378,206
1.256042,58,47,77,371,184
1.261375,77,40,74,370,195
1.266708,62,38,75,400,199
1.272042,58,50,78,391,190
1.277375,64,43,71,381,214
1.282667,55,56,84,395,222
1.288,74,51,83,372,207
1.293333,70,41,84,381,238
1.298667,63,51,75,371,199
1.304,73,57,89,389,180
1.309333,68,55,83,402,233
1.314667,71,53,81,408,196
1.319958,60,48,79,346,203
1.325292,56,46,70,398,174
1.330625,60,55,83,396,197
1.335958,74,56,80,388,225
1.341292,59,50,82,370,204
1.346625,75,46,68,394,203
1.351958,70,50,77,400,205
1.35725,71,57,78,389,229
1.362583,71,52,71,370,201
1.367917,72,59,80,384,224
1.37325,71,46,79,384,200
1.378583,63,50,70,385,204
1.383917,67,52,82,395,212
1.38925,73,44,79,369,181
1.394583,71,51,90,386,220
1.399917,58,51,83,393,198
1.405208,67,40,74,384,193
1.410542,63,42,89,359,179
1.415875,62,51,80,416,199
1.421208,72,52,97,428,209
1.426542,71,47,75,435,197
1.431875,69,56,91,388,188
1.437208,72,50,74,389,203
1.4425,63,48,89,423,202
1.447833,72,60,78,419,191
1.453167,64,50,85,460,195
1.4585,65,59,67,408,175
1.463833,61,44,81,454,224
1.469167,68,54,68,398,186
1.4745,76,41,80,428,201
1.479792,61,48,89,443,189
1.485125,79,55,84,467,211
1.490458,67,53,97,444,178
1.495792,52,49,78,448,205
1.501125,66,51,84,451,170
1.506458,78,45,79,415,169
1.511792,66,35,76,433,162
1.517125,63,51,89,446,209
1.522417,62,56,85,428,195
1.52775,52,54,71,468,162
1.533083,63,51,80,449,178
1.538417,63,51,69,430,193
1.54375,65,48,78,441,200
1.549083,64,44,77,479,193
1.554417,71,48,74,441,221
1.55975,75,37,68,437,197
1.565042,53,33,72,444,179
1.570375,52,49,68,414,188
1.575708,52,36,73,432,181
1.581042,68,48,77,448,214
1.586375,64,58,77,471,204
1.591708,74,50,83,462,196
1.597042,82,42,82,451,206
1.602333,75,55,82,454,204
1.607667,64,48,100,468,185
1.613,66,59,86,463,210
1.618333,62,52,75,509,178
1.623667,71,39,83,490,208
1.629,52,36,88,514,175
1.634333,68,48,93,519,188
1.639667,62,53,82,510,211
1.644958,51,50,81,514,194
1.650292,63,44,92,562,189
1.655625,75,46,81,548,214
1.660958,75,52,95,508,200
1.666292,64,41,78,548,213
1.671625,78,40,90,539,248
1.676958,72,47,90,574,220
1.68225,64,49,83,592,234
1.687583,66,42,86,582,214
1.692917,68,50,96,603,191
1.69825,65,48,84,639,228
1.703583,70,37,79,615,192
1.708917,54,51,75,634,163
1.71425,52,41,70,641,202
1.719583,52,42,78,648,181
1.724875,65,37,83,659,194
1.730208,60,48,81,667,182
1.735542,62,36,73,706,206
1.740875,56,42,84,643,231
1.746208,71,62,84,726,215
1.751542,70,39,86,730,202
1.756875,63,42,88,790,205
1.762208,73,44,103,871,212
1.7675,72,48,88,902,214
1.772833,60,50,124,939,219
1.778167,60,43,90,960,193
1.7835,71,38,95,1070,191
1.788833,63,38,102,1115,221
1.794167,63,65,103,1087,177
1.7995,69,40,118,1157,193
1.804792,62,44,92,1215,203
1.810125,68,43,107,1345,188
1.815458,73,57,89,1396,195
1.820792,69,58,105,1381,161
1.826125,70,56,103,1407,186
1.831458,75,39,110,1338,200
1.836792,56,53,87,1428,209
1.842083,64,48,114,1479,194
1.847417,72,55,119,1451,188
1.85275,58,51,117,1554,209
1.858083,63,58,109,1428,191
1.863417,65,48,94,1540,189
1.86875,69,38,114,1642,175
1.874083,68,55,118,1606,181
1.879417,69,52,109,1538,206
1.884708,55,49,116,1612,182
1.890042,70,38,113,1532,192
1.895375,68,36,99,1508,189
1.900708,58,53,111,1477,204
1.906042,74,47,113,1424,214
1.911375,62,37,117,1465,185
1.916708,58,36,98,1477,201
1.922042,62,41,121,1389,192
1.927333,72,46,135,1405,215
1.932667,66,35,115,1400,217
1.938,62,40,102,1415,185
1.943333,68,54,101,1331,203
1.948667,65,49,119,1317,211
1.954,76,46,116,1346,203
1.959333,60,46,118,1258,176
1.964625,57,61,94,1267,182
1.969958,64,41,95,1268,192
1.975292,61,37,120,1285,146
1.980625,73,52,105,1271,193
1.985958,67,53,102,1244,191
1.991292,64,55,104,1257,203
1.996625,63,45,101,1189,193
2.001917,60,30,115,1227,182
2.00725,73,42,107,1208,200
2.012583,69,57,122,1163,206
2.017917,67,58,110,1166,201
2.02325,64,53,118,1174,205
2.028583,69,47,117,1167,195
2.033917,68,50,125,1221,182
2.03925,70,48,99,1221,188
2.044542,71,47,108,1190,215
2.049875,64,44,96,1162,167
2.055208,67,40,99,1202,191
2.060542,60,31,130,1191,232
2.065875,58,40,102,1196,170
2.071208,66,51,105,1193,174
2.076542,65,53,109,1164,165
2.081875,63,47,99,1172,183
2.087167,60,54,109,1152,172
2.0925,63,51,125,1203,186
2.097833,68,40,111,1133,209
2.103167,80,44,97,1258,175
2.1085,61,44,98,1183,199
2.113833,56,36,116,1184,194
2.119167,67,29,97,1245,193
2.124458,54,45,90,1318,168
2.129792,51,41,106,1210,154
2.135125,62,41,101,1270,194
2.140458,69,55,97,1212,201
2.145792,57,60,105,1153,172
2.151125,70,46,125,1304,195
2.156458,63,48,121,1286,187
2.16175,69,42,119,1209,215
2.167083,67,44,82,1268,175
2.172417,77,50,105,1330,207
2.17775,61,50,116,1337,175
2.183083,57,48,114,1243,166
2.188417,69,53,122,1354,161
2.19375,70,45,121,1267,207
2.199083,56,44,138,1287,162
2.204375,69,51,131,1373,184
2.209708,77,45,127,1335,187
2.215042,77,49,142,1401,168
2.220375,82,43,100,1295,201
2.225708,73,46,132,1401,201
2.231042,67,62,132,1407,190
2.236375,72,47,145,1402,176
2.241708,75,53,129,1545,206
2.247,70,47,188,1529,221
2.252333,64,39,154,1537,223
2.257667,64,54,134,1654,177
2.263,66,47,161,1675,213
2.268333,67,47,170,1773,165
2.273667,65,56,165,1758,208
2.279,59,58,181,1921,199
2.284292,72,45,178,1993,186
2.289625,71,55,185,1963,165
2.294958,64,47,142,2003,209
2.300292,65,46,183,1947,183
2.305625,63,42,170,1804,175
2.310958,72,51,176,1873,205
2.316292,71,33,172,1937,205
2.321583,58,47,162,1966,191
2.326917,66,48,144,1957,191
2.33225,68,41,180,1913,188
2.337583,61,50,155,1865,194
2.342917,62,44,156,1780,210
2.34825,57,54,181,1865,205
2.353583,65,33,169,1830,212
2.358917,84,45,183,1777,205
2.364208,72,60,170,1825,225
2.369542,64,42,179,1829,209
2.374875,74,42,146,1736,198
2.380208,72,51,183,1732,218
2.385542,79,48,162,1687,200
2.390875,68,46,172,1721,225
2.396208,73,56,191,1760,225
2.401542,63,44,182,1706,220
2.406833,63,46,180,1721,195
2.412167,50,48,178,1730,188
2.4175,56,55,166,1659,180
2.422833,62,53,205,1693,188
2.428167,70,41,178,1723,173
2.4335,63,38,197,1799,170
2.438833,52,34,189,1738,164
2.444125,70,35,190,1716,176
2.449458,63,34,174,1661,193
2.454792,56,50,171,1658,201
2.460125,63,37,156,1712,191
2.465458,56,45,194,1693,176
2.470792,77,44,180,1696,190
2.476125,62,55,155,1648,202
2.481417,64,45,202,1693,175
2.48675,68,56,173,1826,207
2.492083,59,63,203,1787,189
2.497417,53,56,207,1693,208
2.50275,70,43,202,1678,217
2.508083,62,55,182,1623,191
2.513417,69,46,208,1707,206
2.51875,64,45,186,1755,168
2.524042,61,51,198,1747,185
2.529375,72,42,176,1663,191
2.534708,67,39,168,1689,189
2.540042,67,43,211,1661,178
2.545375,70,38,183,1711,169
2.550708,75,54,184,1685,176
2.556042,65,55,203,1767,192
2.561375,69,40,185,1756,194
2.566708,60,46,195,1645,203
2.572,61,45,214,1626,220
2.577333,61,59,179,1619,233
2.582667,63,44,210,1635,217
2.588,60,39,194,1752,192
2.593333,63,57,209,1816,192
2.598667,75,41,219,1854,201
2.604,69,41,264,1836,209
2.609292,73,45,233,1881,225
2.614625,73,53,255,1909,201
2.619958,81,51,255,1874,213
2.625292,54,44,232,1983,205
2.630625,59,42,274,2090,190
2.635958,63,49,282,2253,224
2.641292,65,39,280,2210,191
2.646583,62,39,261,2250,202
2.651917,67,37,238,2282,189
2.65725,89,43,302,2333,196
2.662583,74,44,277,2354,211
2.667917,54,48,310,2396,204
2.67325,72,48,313,2427,208
2.678583,66,42,293,2508,199
