SECONDS,COUNTS_MZ150,COUNTS_MZ149,COUNTS_MZ168,COUNTS_MZ85,COUNTS_MZ84,COUNTS_MZ283
4.171083,73,213,67,168,1313,336
4.176417,70,193,65,184,1314,389
4.18175,72,194,70,175,1378,357
4.187083,72,213,58,208,1408,350
4.192417,71,216,56,180,1467,393
4.19775,75,221,54,181,1444,377
4.203083,67,198,59,173,1473,338
4.208375,82,220,51,165,1353,328
4.213708,77,230,71,164,1258,290
4.219042,78,248,69,165,1144,246
4.224375,71,258,68,152,1136,245
4.229708,79,257,78,170,1129,242
4.235042,82,250,76,162,1160,280
4.240375,86,232,71,173,1354,305
4.245667,78,247,70,166,1267,318
4.251,71,207,60,177,1266,286
4.256333,88,226,79,185,1315,321
4.261667,74,198,77,177,1424,334
4.267,77,221,73,181,1309,335
4.272333,76,211,72,181,1359,332
