SECONDS,COUNTS_MZ150,COUNTS_MZ149,COUNTS_MZ168,COUNTS_MZ85,COUNTS_MZ84,COUNTS_MZ283
0.995708,73,251,48,152,123,80
1.001042,61,230,47,150,116,69
1.006375,71,204,59,166,130,102
1.011708,69,232,49,148,128,77
1.017042,88,249,49,178,153,69
1.022375,74,284,47,147,112,70
1.027667,68,232,65,159,113,75
1.033,67,243,60,152,112,66
1.038333,71,200,47,151,117,80
1.043667,68,225,54,131,110,65
1.049,57,241,48,155,112,60
1.054333,59,261,56,181,126,84
1.059667,71,195,58,163,93,65
1.065,76,246,51,170,109,80
1.070292,69,230,56,143,115,82
1.075625,69,244,52,156,129,97
1.080958,75,222,50,142,119,84
1.086292,65,222,46,160,126,79
1.091625,59,198,41,151,125,70
1.096958,63,218,47,156,110,68
1.102292,63,245,47,160,119,76
1.107625,68,237,54,144,107,87
1.112917,68,208,49,147,98,57
1.11825,75,291,51,173,128,88
1.123583,69,222,64,172,159,98
1.128917,79,258,68,166,125,90
1.13425,74,262,60,158,129,91
1.139583,69,259,47,146,112,75
1.144917,56,252,48,160,140,83
1.150208,69,233,62,157,142,98
1.155542,61,241,59,157,146,87
1.160875,71,248,59,176,167,115
1.166208,82,245,59,159,156,104
1.171542,54,252,43,168,159,102
1.176875,74,219,54,163,154,114
1.182208,78,225,45,185,149,99
1.1875,81,228,55,147,118,77
1.192833,72,207,61,162,165,98
1.198167,66,218,56,169,139,124
1.2035,58,211,56,155,159,110
1.208833,72,213,51,176,189,104
1.214167,74,247,64,183,204,124
1.2195,80,270,52,162,179,125
1.224833,92,290,57,173,186,132
1.230167,70,274,46,165,171,113
1.235458,64,261,58,173,175,102
1.240792,72,255,63,158,203,120
1.246125,57,228,47,161,189,135
1.251458,58,266,54,159,206,137
1.256792,80,231,51,178,247,140
1.262125,63,234,46,167,208,124
1.267458,76,245,51,166,263,134
1.27275,75,252,50,158,215,144
1.278083,80,255,67,153,231,132
1.283417,72,246,59,149,226,142
1.28875,79,234,70,164,241,155
1.294083,72,286,59,166,238,129
1.299417,69,256,55,154,243,123
1.30475,76,261,51,165,286,129
1.310042,74,271,58,176,225,133
1.315375,77,266,60,158,241,117
1.320708,76,274,54,174,245,152
1.326042,75,277,55,151,254,132
1.331375,89,258,64,152,289,122
1.336708,69,227,58,139,301,134
1.342042,60,254,53,149,304,163
1.347333,67,244,51,158,275,148
1.352667,73,281,55,155,284,141
1.358,81,260,52,151,326,142
1.363333,71,270,69,149,278,147
1.368667,75,250,65,152,259,131
1.374,73,260,57,134,285,176
1.379333,68,231,60,158,295,171
1.384667,75,254,64,141,286,150
1.389958,71,225,66,150,313,133
1.395292,65,277,61,135,342,149
1.400625,69,266,61,142,332,143
1.405958,78,257,59,128,334,149
1.411292,69,256,58,161,353,140
1.416625,70,262,62,148,365,156
1.421958,61,255,62,160,341,135
1.427292,76,280,66,146,318,158
1.432583,76,292,67,155,265,140
1.437917,74,246,62,136,300,136
1.44325,68,273,54,146,328,162
1.448583,73,252,54,146,342,140
1.453917,66,268,51,143,370,144
1.45925,68,244,61,153,311,134
1.464583,71,266,69,151,379,152
1.469875,73,255,50,132,369,147
1.475208,70,236,55,134,373,151
1.480542,74,242,50,161,352,153
1.485875,73,231,62,133,362,143
1.491208,73,238,64,146,342,151
1.496542,74,259,65,139,322,136
1.501875,72,291,60,142,359,140
1.507208,71,242,49,141,330,157
1.5125,75,257,56,147,360,149
1.517833,73,257,70,154,407,145
1.523167,90,264,62,137,399,142
1.5285,80,285,69,155,417,125
1.533833,76,246,52,144,470,125
1.539167,73,220,62,142,435,157
1.5445,61,236,47,146,487,138
1.549833,75,246,61,138,462,168
1.555125,78,259,60,145,432,164
1.560458,75,277,62,152,392,149
