date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,trapped,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ112,MZ122,MZ149,MZ150,MZ168,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
180810,3,0.5,600.0,290.0,,,1,,,,7.0,109.0,116.0,70.0,bd07hg20as03_003,0.3,,19.4,1585.5,,,,,,54619.2,,,,,,,31.0,77.0,4.88,70.0,4.31,C:/MassCenter DataORG/DropletMSProject.7pj/180810.7fl\Data003.7rw,180810_003_0.5,bd07hg20as03,3,,1629.0,54596.7,,0.00035518699999999997,0.029836968,0.029028254,,,
180814,1,9.81,640.0,300.0,close,close,1,,,,6.0,988.0,994.0,70.0,bd07hg20as03_006,0.3,,31.1,83.6,,,,,,79244.6,,31.0,79.0,4.72,70.0,3.96,33.0,77.0,4.92,70.0,4.32,C:/MassCenter DataORG/DropletMSProject.7pj/180814.7fl\Data001.7rw,180814_001_9.8,bd07hg20as03,6,,,79181.4,,0.000392456,,0.001054962,,,
180814,3,4.2,510.0,243.0,close,close,1,,,,4.0,52.0,56.0,70.0,bd07hg20as03_007,0.3,,63.7,718.9,,,,,,41667.7,,45.0,59.0,4.57,54.0,4.08,43.0,65.0,4.93,58.0,4.23,C:/MassCenter DataORG/DropletMSProject.7pj/180814.7fl\Data003.7rw,180814_003_4.2,bd07hg20as03,7,98.3,736.0,41619.8,0.002361857,0.0015287620000000001,0.017683891,0.017253172,,,
180814,5,0.53,610.0,274.0,,,1,,,,2.0,122.0,124.0,70.0,bd07hg20as03_009,0.3,,18.0,398.0,,,,,,50973.7,,48.0,62.0,4.72,55.0,3.97,42.0,66.0,4.84,60.0,4.2,C:/MassCenter DataORG/DropletMSProject.7pj/180814.7fl\Data005.7rw,180814_005_0.5,bd07hg20as03,9,,426.3,51008.9,,0.00035312300000000005,0.008357365,0.007807948,,,
180815,3,2.5,670.0,315.0,close,close,1,,,,2.0,4.0,6.0,5.0,bd07hg20as03_010,0.3,,51.7,1601.1,,,,,,43709.0,,35.0,76.0,4.72,70.0,4.14,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180815.7fl\Data003.7rw,180815_003_2.5,bd07hg20as03,10,,1616.0,43816.7,,0.001182823,0.036880915,0.0366309,,,
180815,4,0.65,540.0,300.0,close,close,1,,,,6.0,55.0,61.0,70.0,bd07hg20as03_011,0.3,,36.0,640.9,,,,,,20700.5,,32.0,80.0,4.88,73.0,4.24,31.0,80.0,4.55,74.0,4.06,C:/MassCenter DataORG/DropletMSProject.7pj/180815.7fl\Data004.7rw,180815_004_0.7,bd07hg20as03,11,,663.1,20734.0,,0.001739088,0.031981287000000004,0.030960605,,,
180829,1,0.7,600.0,300.0,,,1,8/28/18 17:46,8/28/18 17:50,8/29/18 7:23,4.000000034,813.0,817.0,70.0,bd07hg20as03_015,0.3,,18.16129032,45.32258065,,,,,,7679.096774,dilute aqueous ammonia bubbler,36.0,74.0,4.9,66.0,4.1,36.0,77.0,4.94,67.0,4.0,C:/MassCenter DataORG/DropletMSProject.7pj/180829.7fl\Data001.7rw,180829_001_0.7,bd07hg20as03,15,,,7675.8,,0.00236503,,0.0059020719999999995,,,
180829,4,0.68,650.0,365.0,,,1,8/29/18 9:53,8/29/18 9:56,8/29/18 11:58,2.999999947,122.0,124.9999999,70.0,bd07hg20as03_017,0.3,,19.22580645,90.74193548,,,,,,6677.83871,dilute aqueous ammonia bubbler,33.0,84.0,5.0,73.0,3.98,24.0,93.0,4.92,82.0,4.04,C:/MassCenter DataORG/DropletMSProject.7pj/180829.7fl\Data004.7rw,180829_004_0.7,bd07hg20as03,17,,112.37,6680.8,,0.0028790459999999997,0.016819841999999998,0.013588518999999999,,,
181015,2,0.39,601.0,260.0,,,1,10/15/18 14:59,10/15/18 15:09,10/15/18 15:15,9.999999938,6.000000051000001,15.99999999,70.0,bd07hg20as03_023,0.3,1.5,,223.61290319999998,,,,,,106203.3871,"start of nh3 bubbler experiments, approx dilutions",31.0,62.0,4.9,54.0,4.25,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/181015.7fl\Data002.7rw,181015_002_0.4,bd07hg20as03,23,,246.6,106182.4,,,0.002322419,0.002105516,,,
