MINS_ELAPSED,MZ85_MZ283,MZ85_MZ283_MIN,MZ85_MZ283_MAX
0.0,0.07916695054612981,0.06699074135795773,0.09118520012813268
1.0,0.07866858169200291,0.066491302445982,0.09070624778548307
2.0,0.07817356043350714,0.06586634443536546,0.09037345071261071
3.0,0.0776818630213295,0.06523121973734693,0.0900418749106358
4.0,0.07719346611160752,0.06460223015007377,0.08971151541078869
5.0,0.07670835208952985,0.06397931426274385,0.08938236964389189
6.0,0.0762264935192851,0.06336240423825229,0.08905443260033691
7.0,0.07574786451347873,0.06275143306368337,0.08872769952430952
8.0,0.07527244090081649,0.0621463488984226,0.08840216565999555
9.0,0.07480019952293471,0.06154709933733083,0.08807782625158078
10.0,0.07433111885702277,0.060953628518583866,0.08775467654325103
11.0,0.07386517753728736,0.06036588084037747,0.08743271177919208
12.0,0.07340235386604674,0.05978380063048529,0.08711192720358975
13.0,0.07294262592276017,0.059207332716021806,0.08679231829365297
14.0,0.07248597187624464,0.058636423841404606,0.08647388196126554
15.0,0.07203236999745327,0.05807101990772796,0.08615661413956358
16.0,0.07158179871846936,0.057511067912922806,0.08585661251392238
17.0,0.07113423666786632,0.05695651507544988,0.08561610497324425
18.0,0.07068966261269884,0.05640730958877844,0.08537627126933241
19.0,0.07024805554615215,0.055863399553958824,0.08513710950324638
20.0,0.06980939453970855,0.055324734187768176,0.08489861777604568
21.0,0.06937365886462432,0.054791262709423874,0.0846607941887899
22.0,0.06894082791533071,0.05426293502098459,0.08442363684253855
23.0,0.06851088129782978,0.05373970170735026,0.08418714383835117
24.0,0.06808379857972878,0.053219542735259355,0.08395131327728732
25.0,0.0676595596279477,0.05270400876703358,0.08371614326040652
26.0,0.0672381444483266,0.0521934683157594,0.08348163188876834
27.0,0.06681953328528846,0.05168787321080126,0.08324777726417415
28.0,0.06640370645560625,0.051187175863617554,0.08301457769834619
29.0,0.06599064435078345,0.05069132926776064,0.08278203149979156
30.0,0.06558032758179512,0.05020028641177851,0.08255013683042409
31.0,0.0651727368968237,0.04971400019116718,0.08231889185215756
32.0,0.0647678531597785,0.04923242453208905,0.0820882947269058
33.0,0.06436565736926962,0.04875551383205517,0.08185834361658262
34.0,0.06396613065775096,0.04828322295533638,0.08162903668310181
35.0,0.06356925432672336,0.04781550722040087,0.08140037208837718
36.0,0.06317500981264386,0.047352322196556454,0.08117234799432255
37.0,0.0627833786814856,0.04689362394341582,0.08094496256285172
38.0,0.06239434264164236,0.046439369015889284,0.0807182139558785
39.0,0.06200788352549292,0.0459895144118481,0.08049210369889502
40.0,0.06162398329915534,0.04554401757212444,0.08026662253379704
41.0,0.06124262407946803,0.04510283640993481,0.08004177337049541
42.0,0.060863788054170545,0.044665928715816997,0.07981755438067155
