MINS_ELAPSED,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX
4.0,0.19809072331804553,0.19571725266367204,0.20040524928637987
5.0,0.19427156252778324,0.19186219296029655,0.196631251760525
6.0,0.1905129898066701,0.18803650328467336,0.19293506078226186
7.0,0.18683369548595505,0.18428707489528806,0.18930833422274737
8.0,0.18322609348136676,0.180612407508091,0.1857524875195962
9.0,0.17968508085746818,0.17701101272344535,0.18227497106191257
10.0,0.17621315868708573,0.17348142884831705,0.17886255730536413
11.0,0.17280641536475386,0.17002222328617736,0.17551402735666402
12.0,0.16947106826347347,0.16663199343526947,0.1722281848800797
13.0,0.16619801388437497,0.16330936230418144,0.16900385690192232
14.0,0.16298815164828204,0.16005298513809804,0.16583989053607906
15.0,0.15984310380907732,0.15686154168754238,0.16273516026473672
16.0,0.1567588191880218,0.15373373527876752,0.1596885547126017
17.0,0.1537255192596852,0.15066829720002806,0.15669898556952455
18.0,0.15075828748142206,0.14766398348645887,0.1537653848010862
19.0,0.14785081324676114,0.14471957581990824,0.15088670464105525
20.0,0.1449971011477279,0.14183387909265452,0.14806191715292477
21.0,0.1421956361361871,0.13900572272913966,0.14529001295581584
22.0,0.13944587801235755,0.13623395689027354,0.14257000208775533
23.0,0.1367505815232662,0.13351745730568645,0.13990091082112582
24.0,0.1341083398773202,0.13085512311290107,0.13728178599537894
25.0,0.13151708679242835,0.12824587597171028,0.13471169308230116
26.0,0.12898123135120387,0.12568865947476165,0.13218971551277056
27.0,0.12649229502655715,0.12318243809773581,0.129714954237144
28.0,0.12405172561188417,0.12072619425077157,0.12728652722644493
29.0,0.12165741195485769,0.11831893115638352,0.12490356693046117
30.0,0.11930921966638662,0.11595967135027756,0.12256522172283431
31.0,0.11700974897029641,0.11364745573634594,0.12027065601574612
32.0,0.11475171411878314,0.11138134294425374,0.11801904907231829
33.0,0.11253532877971692,0.10916040964939211,0.11580959452728805
34.0,0.11035906428534407,0.10698375819852876,0.11364149990768382
35.0,0.10823011875023078,0.10485050737220501,0.11151398899402179
36.0,0.10614149988270499,0.10275979304716439,0.10942630571668004
37.0,0.10409233601469065,0.10071076908426395,0.10737770526803037
38.0,0.10207838249566405,0.0987026049668021,0.1053674571389173
39.0,0.10010573505350984,0.09673448442116446,0.10339484509051211
40.0,0.09817132223098497,0.09480560868257529,0.1014591648666883
41.0,0.09627391377360667,0.09291519445222747,0.09955972380832447
42.0,0.094415695896592,0.09106247368327976,0.09769584324467312
43.0,0.09259130844769117,0.08924669566962747,0.09586685684842615
44.0,0.09080247763139215,0.08746712417095731,0.09407211035582394
45.0,0.08904784635252401,0.08572303719222904,0.09231096320596312
46.0,0.08732731592091268,0.08401372706854644,0.09058278697994193
47.0,0.08564301895101178,0.08233850034164332,0.08888696439911747
48.0,0.08398926797801157,0.08069667760498252,0.0872228896956937
49.0,0.082365882145828,0.07908759278104326,0.0855899684046681
50.0,0.08077498456617173,0.07751059299124996,0.08398761746734813
51.0,0.07921752946533256,0.07596503829258655,0.08241526464236916
52.0,0.07768794710099874,0.07445030187919427,0.08087234829725815
